date;Italy;India;Germany;US;Spain
2020-01-22;0;0;0;1;0
2020-01-23;0;0;0;1;0
2020-01-24;0;0;0;2;0
2020-01-25;0;0;0;2;0
2020-01-26;0;0;0;5;0
2020-01-27;0;0;1;5;0
2020-01-28;0;0;4;5;0
2020-01-29;0;0;4;5;0
2020-01-30;0;1;4;5;0
2020-01-31;2;1;5;7;0
2020-02-01;2;1;8;8;1
2020-02-02;2;2;10;8;1
2020-02-03;2;3;12;11;1
2020-02-04;2;3;12;11;1
2020-02-05;2;3;12;11;1
2020-02-06;2;3;12;11;1
2020-02-07;3;3;13;11;1
2020-02-08;3;3;13;11;1
2020-02-09;3;3;14;11;2
2020-02-10;3;3;14;11;2
2020-02-11;3;3;16;12;2
2020-02-12;3;3;16;12;2
2020-02-13;3;3;16;13;2
2020-02-14;3;3;16;13;2
2020-02-15;3;3;16;13;2
2020-02-16;3;3;16;13;2
2020-02-17;3;3;16;13;2
2020-02-18;3;3;16;13;2
2020-02-19;3;3;16;13;2
2020-02-20;3;3;16;13;2
2020-02-21;20;3;16;15;2
2020-02-22;62;3;16;15;2
2020-02-23;155;3;16;15;2
2020-02-24;229;3;16;15;2
2020-02-25;322;3;17;15;6
2020-02-26;453;3;27;15;13
2020-02-27;655;3;46;16;15
2020-02-28;888;3;48;16;32
2020-02-29;1128;3;79;24;45
2020-03-01;1694;3;130;30;84
2020-03-02;2036;5;159;53;120
2020-03-03;2502;5;196;73;165
2020-03-04;3089;28;262;104;222
2020-03-05;3858;30;482;174;259
2020-03-06;4636;31;670;222;400
2020-03-07;5883;34;799;337;500
2020-03-08;7375;39;1040;451;673
2020-03-09;9172;43;1176;519;1073
2020-03-10;10149;56;1457;711;1695
2020-03-11;12462;62;1908;1109;2277
2020-03-12;15113;73;2078;1561;2277
2020-03-13;17660;82;3675;2157;5232
2020-03-14;21157;102;4585;2870;6391
2020-03-15;24747;113;5795;2968;7798
2020-03-16;27980;119;7272;4360;9942
2020-03-17;31506;142;9257;6141;11748
2020-03-18;35713;156;12327;8917;13910
2020-03-19;41035;194;15320;14157;17963
2020-03-20;47021;244;19848;19479;20410
2020-03-21;53578;330;22213;25825;25374
2020-03-22;59138;396;24873;33761;28768
2020-03-23;63927;499;29056;43850;35136
2020-03-24;69176;536;32986;54112;39885
2020-03-25;74386;657;37323;66055;49515
2020-03-26;80589;727;43938;84091;57786
2020-03-27;86498;887;50871;102276;65719
2020-03-28;92472;987;57695;122069;73235
2020-03-29;97689;1024;62095;141205;80110
2020-03-30;101739;1251;66885;162707;87956
2020-03-31;105792;1397;71808;188724;95923
2020-04-01;110574;1998;77872;214205;104118
2020-04-02;115242;2543;84794;244610;112065
2020-04-03;119827;2567;91159;276547;119199
2020-04-04;124632;3082;96092;309699;126168
2020-04-05;128948;3588;100123;337573;131646
2020-04-06;132547;4778;103374;367215;136675
2020-04-07;135586;5311;107663;397992;141942
2020-04-08;139422;5916;113296;429686;148220
2020-04-09;143626;6725;118181;464442;153222
2020-04-10;147577;7598;122171;497943;158273
2020-04-11;152271;8446;124908;527969;163027
2020-04-12;156363;9205;127854;556522;166831
2020-04-13;159516;10453;130072;581813;170099
2020-04-14;162488;11487;131359;608878;172541
2020-04-15;165155;12322;134753;637974;177644
2020-04-16;168941;13430;137698;669272;184948
2020-04-17;172434;14352;141397;701996;190839
2020-04-18;175925;15722;143342;730337;191726
2020-04-19;178972;17615;145184;756375;198674
2020-04-20;181228;18539;147065;783716;200210
2020-04-21;183957;20080;148291;809318;204178
2020-04-22;187327;21370;150648;837422;208389
2020-04-23;189973;23077;153129;871617;213024
2020-04-24;192994;24530;154999;907908;202990
2020-04-25;195351;26283;156513;940829;205905
2020-04-26;197675;27890;157770;968518;207634
2020-04-27;199414;29451;158758;990983;209465
2020-04-28;201505;31324;159912;1015518;210773
2020-04-29;203591;33062;161539;1043038;212917
2020-04-30;205463;34863;163009;1072667;213435
2020-05-01;207428;37257;164077;1106829;215216
2020-05-02;209328;39699;164967;1136024;216582
2020-05-03;210717;42505;165664;1161611;217466
2020-05-04;211938;46437;166152;1184086;218011
2020-05-05;213013;49400;167007;1208271;219329
2020-05-06;214457;52987;168162;1233527;220325
2020-05-07;215858;56351;169430;1261409;221447
2020-05-08;217185;59695;170588;1288587;222857
2020-05-09;218268;62808;171324;1314320;223578
2020-05-10;219070;67161;171879;1334084;224350
2020-05-11;219814;70768;172576;1352962;227436
2020-05-12;221216;74292;173171;1375152;228030
2020-05-13;222104;78055;174098;1396110;228691
2020-05-14;223096;81997;174478;1423727;229540
2020-05-15;223885;85784;175233;1449027;230183
2020-05-16;224760;90648;175752;1474128;230698
2020-05-17;225435;95698;176369;1493132;230698
2020-05-18;225886;100328;176551;1514901;231606
2020-05-19;226699;106475;177778;1535350;232037
2020-05-20;227364;112028;178473;1559157;232555
2020-05-21;228006;118226;179021;1584512;233037
2020-05-22;228658;124794;179710;1608653;234824
2020-05-23;229327;131423;179986;1630476;235290
2020-05-24;229858;138536;180328;1651289;235772
2020-05-25;230158;144950;180600;1670280;235400
2020-05-26;230555;150793;181200;1689163;236259
2020-05-27;231139;158086;181524;1707445;236259
2020-05-28;231732;165386;182196;1730260;237906
2020-05-29;232248;173491;182922;1754764;238564
2020-05-30;232664;181827;183189;1779214;239228
2020-05-31;232997;190609;183410;1799124;239479
2020-06-01;233197;198370;183594;1816479;239638
2020-06-02;233515;207191;183879;1837374;239932
2020-06-03;233836;216824;184121;1857332;240326
2020-06-04;234013;226713;184472;1878683;240660
2020-06-05;234531;236184;184924;1903907;240978
2020-06-06;234801;246622;185450;1926639;241310
2020-06-07;234998;257486;185750;1944370;241550
2020-06-08;235278;265928;186109;1961785;241717
2020-06-09;235561;276146;186506;1979912;241966
2020-06-10;235763;286605;186522;2000706;242280
2020-06-11;236142;297535;186691;2023656;242707
2020-06-12;236305;308993;187226;2048986;243209
2020-06-13;236651;320922;187267;2074542;243605
2020-06-14;236989;332424;187518;2094366;243928
2020-06-15;237290;343091;187682;2114026;244109
2020-06-16;237500;354065;188252;2137731;244328
2020-06-17;237828;366946;188604;2163290;244683
2020-06-18;238159;380532;189817;2191099;245268
2020-06-19;238011;395048;190299;2222579;245575
2020-06-20;238275;410451;190670;2255328;245938
2020-06-21;238499;425282;191272;2281767;246272
2020-06-22;238720;440215;191768;2312303;246504
2020-06-23;238833;456183;192480;2347491;246752
2020-06-24;239410;473105;192871;2382426;247086
2020-06-25;239706;490401;193371;2422299;247486
2020-06-26;239961;508953;194036;2467554;247905
2020-06-27;240136;528859;194458;2510259;248469
2020-06-28;240310;548318;194693;2549864;248770
2020-06-29;240436;566840;195042;2590668;248970
2020-06-30;240578;585481;195418;2636414;249271
2020-07-01;240760;604641;195893;2687588;249659
2020-07-02;240961;625544;196370;2742049;250103
2020-07-03;241184;648315;196780;2795361;250545
2020-07-04;241419;673165;197198;2841241;250545
2020-07-05;241611;697413;197523;2891124;250545
2020-07-06;241819;719664;198064;2936077;251789
2020-07-07;241956;742417;198343;2996098;252130
2020-07-08;242149;767296;198699;3054699;252513
2020-07-09;242363;793802;199001;3117946;253056
2020-07-10;242639;820916;199332;3185737;253908
2020-07-11;242827;849522;199709;3245925;253908
2020-07-12;243061;878254;199919;3304942;253908
2020-07-13;243230;906752;200180;3364157;255953
2020-07-14;243344;936181;200456;3431574;256619
2020-07-15;243506;968857;200890;3498902;257494
2020-07-16;243736;1003832;201450;3576157;258855
2020-07-17;243967;1039084;202045;3647715;260255
2020-07-18;244216;1077781;202426;3711413;260255
2020-07-19;244434;1118206;202735;3773260;260255
2020-07-20;244624;1155338;203325;3834677;264836
2020-07-21;244752;1193078;203717;3899211;266194
2020-07-22;245032;1238798;204276;3970121;267551
2020-07-23;245338;1288108;204881;4038816;270166
2020-07-24;245590;1337024;205623;4112531;272421
2020-07-25;245864;1385635;206278;4178970;272421
2020-07-26;246118;1435616;206667;4233923;272421
2020-07-27;246286;1480073;207112;4290337;278782
2020-07-28;246488;1531669;207707;4356206;280610
2020-07-29;246776;1581963;208546;4426982;282641
2020-07-30;247158;1634746;209535;4495015;285430
2020-07-31;247537;1695988;210399;4562107;288522
2020-08-01;247832;1750723;211005;4620592;288522
2020-08-02;248070;1803695;211220;4668172;288522
2020-08-03;248229;1855745;212111;4713540;297054
2020-08-04;248419;1908254;212828;4771080;302814
2020-08-05;248803;1964536;214113;4823890;305767
2020-08-06;249204;2027074;215039;4883582;309855
2020-08-07;249756;2088611;216196;4941755;314362
2020-08-08;250103;2153010;216903;4997929;314362
2020-08-09;250566;2215074;217288;5044864;314362
2020-08-10;250825;2268675;218508;5094400;322980
2020-08-11;251237;2329638;219540;5141208;326612
2020-08-12;251713;2396637;220859;5197411;329784
2020-08-13;252235;2461190;222281;5248958;337334
2020-08-14;252809;2525922;223791;5313252;342813
2020-08-15;253438;2589952;224488;5361165;342813
2020-08-16;253915;2647663;225007;5403213;342813
2020-08-17;254235;2702681;226700;5438325;359082
2020-08-18;254636;2767253;228120;5482416;364196
2020-08-19;255278;2836925;229706;5529824;370867
2020-08-20;256118;2905825;231292;5573847;377906
2020-08-21;257065;2975701;233029;5622540;386054
2020-08-22;258136;3044940;233861;5667112;386054
2020-08-23;259345;3106348;234494;5701679;386054
